team,matches_played,wins,draws,losses,goals_for,goals_against,clean_sheets,goals_first_half_for,goals_first_half_against,goals_second_half_for,goals_second_half_against,stage_reached,goal_diff,goals_per_match,goals_conceded_per_match,win_rate,clean_sheet_rate
France,7,5,1,1,16,8,1,0,0,0,0,FINAL,8,2.29,1.14,0.714,0.143
Argentina,7,4,2,1,15,8,3,0,0,0,0,FINAL,7,2.14,1.14,0.571,0.429
Netherlands,5,3,2,0,10,4,2,0,0,0,0,FINAL,6,2.0,0.8,0.6,0.4
Portugal,5,3,0,2,12,6,1,0,0,0,0,FINAL,6,2.4,1.2,0.6,0.2
Brazil,5,3,1,1,8,3,2,0,0,0,0,FINAL,5,1.6,0.6,0.6,0.4
Morocco,7,3,2,2,6,5,4,0,0,0,0,FINAL,1,0.86,0.71,0.429,0.571
England,5,3,1,1,13,4,3,0,0,0,0,FINAL,9,2.6,0.8,0.6,0.6
Switzerland,4,2,0,2,5,9,1,0,0,0,0,GROUP_STAGE,-4,1.25,2.25,0.5,0.25
Senegal,4,2,0,2,5,7,0,0,0,0,0,GROUP_STAGE,-2,1.25,1.75,0.5,0.0
Croatia,7,2,4,1,8,7,2,0,0,0,0,FINAL,1,1.14,1.0,0.286,0.286
Japan,4,2,1,1,5,4,0,0,0,0,0,GROUP_STAGE,1,1.25,1.0,0.5,0.0
Australia,4,2,0,2,4,6,2,0,0,0,0,GROUP_STAGE,-2,1.0,1.5,0.5,0.5
Cameroon,3,1,1,1,4,4,1,0,0,0,0,GROUP_STAGE,0,1.33,1.33,0.333,0.333
Belgium,3,1,1,1,1,2,2,0,0,0,0,GROUP_STAGE,-1,0.33,0.67,0.333,0.667
Costa Rica,3,1,0,2,3,11,1,0,0,0,0,GROUP_STAGE,-8,1.0,3.67,0.333,0.333
Spain,4,1,2,1,9,3,2,0,0,0,0,GROUP_STAGE,6,2.25,0.75,0.25,0.5
Germany,3,1,1,1,6,5,0,0,0,0,0,GROUP_STAGE,1,2.0,1.67,0.333,0.0
Poland,4,1,1,2,3,5,2,0,0,0,0,GROUP_STAGE,-2,0.75,1.25,0.25,0.5
Ecuador,3,1,1,1,4,3,1,0,0,0,0,GROUP_STAGE,1,1.33,1.0,0.333,0.333
South Korea,4,1,1,2,5,8,1,0,0,0,0,GROUP_STAGE,-3,1.25,2.0,0.25,0.25
Mexico,3,1,1,1,2,3,1,0,0,0,0,GROUP_STAGE,-1,0.67,1.0,0.333,0.333
Tunisia,3,1,1,1,1,1,2,0,0,0,0,GROUP_STAGE,0,0.33,0.33,0.333,0.667
Ghana,3,1,0,2,5,7,0,0,0,0,0,GROUP_STAGE,-2,1.67,2.33,0.333,0.0
Saudi Arabia,3,1,0,2,3,5,0,0,0,0,0,GROUP_STAGE,-2,1.0,1.67,0.333,0.0
USA,4,1,2,1,3,4,2,0,0,0,0,GROUP_STAGE,-1,0.75,1.0,0.25,0.5
Iran,3,1,0,2,4,7,1,0,0,0,0,GROUP_STAGE,-3,1.33,2.33,0.333,0.333
Uruguay,3,1,1,1,2,2,2,0,0,0,0,GROUP_STAGE,0,0.67,0.67,0.333,0.667
Qatar,3,0,0,3,1,7,0,0,0,0,0,GROUP_STAGE,-6,0.33,2.33,0.0,0.0
Canada,3,0,0,3,2,7,0,0,0,0,0,GROUP_STAGE,-5,0.67,2.33,0.0,0.0
Denmark,3,0,1,2,1,3,1,0,0,0,0,GROUP_STAGE,-2,0.33,1.0,0.0,0.333
Wales,3,0,1,2,1,6,0,0,0,0,0,GROUP_STAGE,-5,0.33,2.0,0.0,0.0
Serbia,3,0,1,2,5,8,0,0,0,0,0,GROUP_STAGE,-3,1.67,2.67,0.0,0.0
